convolutional neural network  (Abstract) AND Meteorology & Atmospheric Sciences  (Web of Science Categories)
Timespan: 1900-2024. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Applications of Deep Learning to Ocean Data Inference and Subgrid Parameterization","Bolton, Thomas; Zanna, Laure","","","","JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS","JAN 2019","2019","11","1","","","","376","399","","10.1029/2018MS001472","","","218","36.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","28","46","39","48","46"
"Ear density estimation from high resolution RGB imagery using deep learning technique","Madec, Simon; Jin, Xiuliang; Lu, Hao; De Solan, Benoit; Liu, Shouyang; Duyme, Florent; Heritier, Emmanuelle; Baret, Frederic","","","","AGRICULTURAL AND FOREST METEOROLOGY","JAN 15 2019","2019","264","","","","","225","234","","10.1016/j.agrformet.2018.10.013","","","198","33.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","27","29","47","43","36"
"Forest Fire Susceptibility Modeling Using a Convolutional Neural Network for Yunnan Province of China","Zhang, Guoli; Wang, Ming; Liu, Kai","","","","INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE","SEP 2019","2019","10","3","","","","386","403","","10.1007/s13753-019-00233-1","","","180","30.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","26","43","46","48"
"Can Machines Learn to Predict Weather? Using Deep Learning to Predict Gridded 500-hpa Geopotential Height From Historical Weather Data","Weyn, Jonathan A.; Durran, Dale R.; Caruana, Rich","","","","JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS","AUG 2019","2019","11","8","","","","2680","2693","","10.1029/2019MS001705","","","171","28.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","17","38","36","32","44"
"Improving Data-Driven Global Weather Prediction Using Deep Convolutional Neural Networks on a Cubed Sphere","Weyn, Jonathan A.; Durran, Dale R.; Caruana, Rich","","","","JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS","SEP 2020","2020","12","9","","","","","","e2020MS002109","10.1029/2020MS002109","","","138","27.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","31","27","36","40"
"Comparative assessment of environmental variables and machine learning algorithms for maize yield prediction in the US Midwest","Kang, Yanghui; Ozdogan, Mutlu; Zhu, Xiaojin; Ye, Zhiwei; Hain, Christopher; Anderson, Martha","","","","ENVIRONMENTAL RESEARCH LETTERS","JUN 2020","2020","15","6","","","","","","064005","10.1088/1748-9326/ab7df9","","","122","24.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","21","27","28","42"
"Predicting weather forecast uncertainty with machine learning","Scher, Sebastian; Messori, Gabriele","","","","QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY","OCT 2018","2018","144","717","B","","","2830","2841","","10.1002/qj.3410","","","120","17.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","11","27","18","22","30"
"Interpretable Deep Learning for Spatial Analysis of Severe Hailstorms","Gagne, David John, II; Haupt, Sue Ellen; Nychka, Douglas W.; Thompson, Gregory","","","","MONTHLY WEATHER REVIEW","AUG 2019","2019","147","8","","","","2827","2845","","10.1175/MWR-D-18-0316.1","","","107","17.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","21","27","17","18","17"
"Using Deep Learning to Estimate Tropical Cyclone Intensity from Satellite Passive Microwave Imagery","Wimmers, Anthony; Velden, Christopher; Cossuth, Joshua H.","","","","MONTHLY WEATHER REVIEW","JUN 2019","2019","147","6","","","","2261","2282","","10.1175/MWR-D-18-0391.1","","","107","17.83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","18","17","21","25","19"
"PERSIANN-CNN: Precipitation Estimation from Remotely Sensed Information Using Artificial Neural Networks-Convolutional Neural Networks","Sadeghi, Mojtaba; Asanjan, Ata Akbari; Faridzad, Mohammad; Phu Nguyen; Hsu, Kuolin; Sorooshian, Soroosh; Braithwaite, Dan","","","","JOURNAL OF HYDROMETEOROLOGY","DEC 2019","2019","20","12","","","","2273","2289","","10.1175/JHM-D-19-0110.1","","","104","17.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","14","25","25","22","17"
